Card title,Pile title,Group,in supply,is kingdom,types,cost,spending power,debt,potion cost,Points,keywords,interacts with keywords,other interacts,comments
Copper,,base,y,n,Treasure,0,1,,,,,,,
Silver,,base,y,n,Treasure,3,2,,,,,,,
Gold,,base,y,n,Treasure,6,3,,,,,,,
Estate,,base,y,n,Victory,2,,,,1,,,,
Duchy,,base,y,n,Victory,5,,,,3,,,,
Province,,base,y,n,Victory,8,,,,6,,,,
Curse,,base,y,n,Curse,0,,,,-1,,,,
Cellar,,Dominion-core,y,y,Action,2,,,,,+action;discard;+card,,,
Chapel,,Dominion-core,y,y,Action,2,,,,,trash_any,,,
Chancellor,,Dominion-v1,y,y,Action,3,,,,,+spend;shuffle,,,Actually put deck into discard; but this will trigger a shuffle
Village,,Dominion-core,y,y,Action,3,,,,,+card;+action,,,+card is draw
Woodcutter,,Dominion-v1,y,y,Action,3,,,,,+buy;+spend,,,+spend is the +money to spend
Feast,,Dominion-v1,y,y,Action,4,,,,,trash_limited;gain,,cost<=5,
Militia,,Dominion-core,y,y,Action;Attack,4,,,,,+spend;discard,,,
Moneylender,,Dominion-core,y,y,Action,4,,,,,trash_limited;+spend,,,
Remodel,,Dominion-core,y,y,Action,4,,,,,trash_any;gain,,cost<=+2,up to 2 more than trashed
Bureaucrat,,Dominion-core,y,y,Action;Attack,4,,,,,gain;reveal,,card(Silver),Also checks for victory cards
Smithy,,Dominion-core,y,y,Action,4,,,,,+card,,,
Spy,,Dominion-v1,y,y,Action;Attack,4,,,,,+card;+action;reveal;discard;topdeck,,,topdeck is put it back on top of deck
Thief,,Dominion-v1,y,y,Action;Attack,4,,,,,reveal;trash_limited;gain;discard,,,
Throne Room,,Dominion-core,y,y,Action,4,,,,,clone,,,
Moat,,Dominion-core,y,y,Action;Reaction,2,,,,,+card;reveal,,react(Attack),Need to think a bit about how reacts with reveal .. are all reveals reveal self?
Council Room,,Dominion-core,y,y,Action,5,,,,,+card;+buy,,,Do we need a separate code for cantrip vs draw multi?
Festival,,Dominion-core,y,y,Action,5,,,,,+action;+buy;+spend,,,
Laboratory,,Dominion-core,y,y,Action,5,,,,,+card;+action,,,
Library,,Dominion-core,y,y,Action,5,,,,,+card;discard,,,Do we need to differentiate between self discard and forced discard?
Market,,Dominion-core,y,y,Action,5,,,,,+card;+action;+buy+spend,,,
Mine,,Dominion-core,y,y,Action,5,,,,,trash_limited;gain,,,Gain to hand; don't have a symbol for that. Didn't record =+3 since the treasures will be there
Witch,,Dominion-core,y,y,Action;Attack,5,,,,,+card;gain;curser,,,
Adventurer,,Dominion-v1,y,y,Action,6,,,,,reveal;discard,,,
Gardens,,Dominion-core,y,y,Victory,4,,,,,,,,Depends on deck size
Artisan,,Dominion-v2,y,y,Action,6,,,,,gain;topdeck,,cost<=5,
Bandit,,Dominion-v2,y,y,Action,5,,,,,gain;trash_limited;discard,,,
Harbinger,,Dominion-v2,y,y,Action,3,,,,,+card;+action;topdeck,,,source of topdeck here is discard not hand
Merchant,,Dominion-v2,y,y,Action,3,,,,,+card;+action;+spend,,,
Poacher,,Dominion-v2,y,y,Action,4,,,,,+card;+action;+spend;discard,,,
Sentry,,Dominion-v2,y,y,Action,5,,,,,+card;+action;trash_any;discard;topdeck,,,
Vassal,,Dominion-v2,y,y,Action,3,,,,,+spend;discard,,,
,,,,,,,,,,,,,,
Amulet,,Adventures,y,y,Action;Duration,3,,,,,+spend;trash_any;gain,,card(Silver),
Artificer,,Adventures,y,y,Action,5,,,,,+card;+action;+spend;discard,,variable_cost,cost of card depends on factor (in this case number of discards)
Bridge Troll,,Adventures,y,y,Action;Attack;Duration,5,,,,,+buy;discount,,item(-1token),
Caravan Guard,,Adventures,y,y,Action;Duration;Reaction,3,,,,,+card;+action;+spend,,react(Attack),
Dungeon,,Adventures,y,y,Action;Duration,3,,,,,+action;+card;discard,,,
Duplicate,,Adventures,y,y,Action;Reserve,4,,,,,gain,,cost<=6;item(tavernmat),
Gear,,Adventures,y,y,Action;Duration,3,,,,,+card,,,
Giant,,Adventures,y,y,Action;Attack,5,,,,,+spend;reveal;trash_limited;gain;curser,,cost_in(3.6);item(journeytoken),
Guide,,Adventures,y,y,Action;Reserve,3,,,,,+card;+action;discard,,item(tavernmat),Also includes draw; but hiding that behind +cards
Haunted Woods,,Adventures,y,y,Action;Attack;Duration,5,,,,,+card,+buy,,This is conditioned on buy not gain
Hireling,,Adventures,y,y,Action;Duration,6,,,,,+card,,,
Lost City,,Adventures,y,y,Action,5,,,,,+card;+action;gain,,,
Magpie,,Adventures,y,y,Action,4,,,,,+card;+action;reveal;gain,,,depends on broad type
Messenger,,Adventures,y,y,Action,4,,,,,+buy;+spend;gain,,,
Miser,,Adventures,y,y,Action,4,,,,,+spend,,item(tavernmat),
Ranger,,Adventures,y,y,Action,4,,,,,+buy;+cards,,item(journeytoken),
Ratcatcher,,Adventures,y,y,Action;Reserve,2,,,,,+card;+action;trash_any,,item(tavernmat),
Raze,,Adventures,y,y,Action,2,,,,,+action;trash_any;discard,,,
Royal Carriage,,Adventures,y,y,Action;Reserve,5,,,,,+action;clone,,item(tavernmat),
Storyteller,,Adventures,y,y,Action,5,,,,,+action;+spend;+card,,,
Swamp Hag,,Adventures,y,y,Action;Attack;Duration,5,,,,,+spend;gain;curser,+buy,,
Transmogrify,,Adventures,y,y,Action;Reserve,4,,,,,+action;trash_any;gain,,item(tavernmat); cost<=+1,
Wine Merchant,,Adventures,y,y,Action;Reserve,5,,,,,+buy;+spend;discard,,item(tavernmat),
Port,,Adventures,y,y,Action,4,,,,,+card;+action;gain,,,
Coin of the Realm,,Adventures,y,y,Treasure;Reserve,2,1,,,,+action,,item(tavernmat),
Relic,,Adventures,y,y,Treasure;Attack,5,2,,,,,,item(-1cardtoken),
Treasure Trove,,Adventures,y,y,Treasure,5,2,,,,gain,,card(Gold); card(Copper),
Distant Lands,,Adventures,y,y,Action;Reserve;Victory,5,4,,,,,,item(tavernmat),Points depend on whether it's on the mat
Page,,Adventures,y,y,Action;Traveller,2,,,,,+card;+action;discard;upgrade,,group(Adventures-Traveller-page),
Peasant,,Adventures,y,y,Action;Traveller,2,,,,,+buy;+spend;discard;upgrade,,group(Adventures-Traveller-peasant),
Treasure Hunter,,Adventures-Traveller-page,n,n,Action;Traveller,3,,,,,+action;+spend,,,Not adding the discard and upgrade to all these
Warrior,,Adventures-Traveller-page,n,n,Action;Attack;Traveller,4,,,,,+cards;discard,,cost_in(3.4),
Hero,,Adventures-Traveller-page,n,n,Action;Traveller,5,,,,,+spend;gain,,,
Champion,,Adventures-Traveller-page,n,n,Action;Duration,6,,,,,+action,,react(Attack),
Soldier,,Adventures-Traveller-peasant,n,n,Action;Attack;Traveller,3,,,,,+spend;discard,,type(attack),
Fugitive,,Adventures-Traveller-peasant,n,n,Action;Traveller,4,,,,,+card;+action;disacrd,,,
Disciple,,Adventures-Traveller-peasant,n,n,Action;Traveller,5,,,,,clone;gain,,,
Teacher,,Adventures-Traveller-peasant,n,n,Action;Reserve,6,,,,,,,item(+cardtoken); item(+1actiontoken); item(+1buytoken); item(+1spendtoken); item(tavernmat),
,,,,,,,,,,,,,,
Alms,,Adventures-Events,n,n,Event,0,,,,,gain,,,
Ball,,Adventures-Events,n,n,Event,5,,,,,gain,,cost<=4; item(-1spendtoken),
Bonfire,,Adventures-Events,n,n,Event,3,,,,,trash_limited,,,
Borrow,,Adventures-Events,n,n,Event,0,,,,,+buy;+spend,,item(-1cardtoken),
Expedition,,Adventures-Events,n,n,Event,3,,,,,+cards,,,
Ferry,,Adventures-Events,n,n,Event,3,,,,,,,item(-2costtoken),
Inheritance,,Adventures-Events,n,n,Event,7,,,,,,,item(estatetoken); cost<=4,
Lost Arts,,Adventures-Events,n,n,Event,6,,,,,+action,,item(+1actiontoken),
Mission,,Adventures-Events,n,n,Event,4,,,,,,,,
Pathfinding,,Adventures-Events,n,n,Event,8,,,,,,,item(+1cardtoken),
Pilgrimage,,Adventures-Events,n,n,Event,4,,,,,,,item(journeytoken),
Plan,,Adventures-Events,n,n,Event,3,,,,,,,item(trashtoken),Should add standard keywords etc for each token
Quest,,Adventures-Events,n,n,Event,0,,,,,disacard;gain,,card(Gold);card(Curse),Wouldn't want to pull in curses because this card was in
Raid,,Adventures-Events,n,n,Event,5,,,,,gain,,item(-1cardtoken); card(Silver),
Save,,Adventures-Events,n,n,Event,1,,,,,+buy,,,
Scouting Party,,Adventures-Events,n,n,Event,2,,,,,+buy; discard;topdeck,,,
Seaway,,Adventures-Events,n,n,Event,5,,,,,gain,,item(+1buytoken); cost<=4,
Trade,,Adventures-Events,n,n,Event,5,,,,,trash_any;gain,,card(Silver),
Training,,Adventures-Events,n,n,Event,6,,,,,,,item(+1spendtoken),
Travelling Fair,,Adventures-Events,n,n,Event,,,,,,+buy;topdeck,,,
,,,,,,,,,,,,,,
